date,CALIFORNIA,ILLINOIS,MISSOURI,WASHINGTON
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,1.836161891,0,0,0
2/28/2020,0.786102263,0,0,0
2/29/2020,1.241232231,0,0,0
3/1/2020,1.275245888,0,0,0
3/2/2020,5.491849155,0,0,8.043466743
3/3/2020,6.807065766,0,0,5.855778626
3/4/2020,5.21483491,0,0,4.711719102
3/5/2020,3.956089407,0,0,5.2074742
3/6/2020,3.480136664,0,0,3.641911801
3/7/2020,2.371777065,0,0,2.905127355
3/8/2020,3.994768483,0,0,2.781866957
3/9/2020,3.374026978,2.677394623,0,2.439888116
3/10/2020,2.528995682,4.403819166,0,3.173961414
3/11/2020,2.17258898,4.646052884,0,3.267965937
3/12/2020,2.258185994,3.448787686,0,2.791415545
3/13/2020,2.150298892,2.245577328,0,2.620503044
3/14/2020,2.17643144,1.743169122,0,2.236780456
3/15/2020,1.825854812,4.833061647,0,1.889173081
3/16/2020,1.85613257,3.646453953,0,1.68567703
3/17/2020,2.281383981,3.568303197,5.530585682,1.602885744
3/18/2020,2.055634503,4.556237874,6.404226781,1.762385738
3/19/2020,2.69295552,4.376639082,4.378186756,1.742070585
3/20/2020,2.97,3.92,7.03,1.59
3/21/2020,2.65,3.33,5.12,1.7
3/22/2020,2.21,3.06,3.42,1.69
3/23/2020,1.97,2.72,4.03,1.68
3/24/2020,2.12,2.37,3.89,1.58
3/25/2020,2.16,2.13,3.65,1.27
3/26/2020,2.14,2.32,3.62,1.54
3/27/2020,2.18,2.16,3.21,1.72
3/28/2020,1.96,1.96,2.91,1.75
3/29/2020,1.77,2.12,2.31,1.53
3/30/2020,1.88,1.87,1.93,1.46
3/31/2020,1.84,1.86,2.03,1.21
4/1/2020,1.46,1.83,1.97,1.27
4/2/2020,1.36,1.58,1.82,1.1
4/3/2020,1.7,1.59,1.69,1.39
4/4/2020,1.43,1.66,1.5,1.33
4/5/2020,1.47,1.43,1.36,1.17
4/6/2020,1.3,1.4,1.44,1.1
4/7/2020,1.26,1.35,1.35,1.55
4/8/2020,1.36,1.35,1.28,1.46
4/9/2020,1.33,1.36,1.18,1.37
4/10/2020,1.02,1.3,1.11,0.99
4/11/2020,1.13,1.2,1.11,0.88
4/12/2020,1.08,1.24,1.12,0.94
4/13/2020,1.01,1.21,1.02,0.89
4/14/2020,0.93,1.15,0.99,0.57
4/15/2020,0.94,1.09,0.94,0.5
4/16/2020,1,1.04,0.95,0.51
4/17/2020,1.03,1.06,0.9,0.57
4/18/2020,1.06,1.08,0.92,0.65
4/19/2020,0.91,1.02,0.95,0.62
4/20/2020,1.09,1,0.9,0.76
