date,CALIFORNIA,ILLINOIS,MISSOURI,WASHINGTON
1/22/2020,0,0,0,1
1/23/2020,0,0,0,0
1/24/2020,0,1,0,0
1/25/2020,0,0,0,0
1/26/2020,2,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,1,1,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,3,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,1,0,0,0
2/12/2020,0,0,0,0
2/13/2020,1,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,2,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,1,0,0,0
2/28/2020,0,0,0,0
2/29/2020,1,0,0,6
3/1/2020,0,1,0,4
3/2/2020,9,1,0,7
3/3/2020,8,0,0,9
3/4/2020,7,0,0,12
3/5/2020,9,1,0,31
3/6/2020,11,1,0,9
3/7/2020,0,0,1,23
3/8/2020,54,1,0,34
3/9/2020,25,4,0,26
3/10/2020,17,8,0,105
3/11/2020,23,8,0,99
3/12/2020,49,5,0,91
3/13/2020,40,0,1,111
3/14/2020,47,0,0,74
3/15/2020,58,61,3,66
3/16/2020,78,12,3,61
3/17/2020,149,55,5,161
3/18/2020,56,128,11,257
3/19/2020,330,134,4,189
3/20/2020,322,163,45,148
3/21/2020,230,168,17,269
3/22/2020,175,296,16,203
3/23/2020,222,236,77,225
3/24/2020,580,250,72,248
3/25/2020,471,330,101,111
3/26/2020,795,673,146,627
3/27/2020,953,488,168,516
3/28/2020,529,465,168,587
3/29/2020,480,1105,65,196
3/30/2020,1170,461,128,390
3/31/2020,1222,937,296,0
4/1/2020,24,986,254,423
4/2/2020,1036,715,253,364
4/3/2020,2833,1209,279,1283
4/4/2020,2,1453,178,625
4/5/2020,1412,899,76,0
4/6/2020,898,1006,355,345
4/7/2020,1529,1287,315,1364
4/8/2020,1092,1529,290,415
4/9/2020,1352,1344,212,511
4/10/2020,1163,1465,260,279
4/11/2020,1143,1293,225,337
4/12/2020,1179,1672,136,187
4/13/2020,554,1173,228,127
4/14/2020,990,1222,298,156
4/15/2020,1086,1346,209,89
4/16/2020,1758,1140,216,369
4/17/2020,1346,1842,172,293
4/18/2020,1435,1585,234,357
4/19/2020,0,1197,150,0
4/20/2020,2015,1151,140,295
4/21/2020,2283,1551,134,197
4/22/2020,2135,2049,196,212
4/23/2020,1973,1826,184,259
4/24/2020,1885,2724,304,224
4/25/2020,1883,2119,201,342
4/26/2020,1027,2126,171,202
4/27/2020,1300,1980,174,165
4/28/2020,1567,2219,132,156
4/29/2020,1469,2253,122,228
4/30/2020,2417,2563,137,257
5/1/2020,1525,3137,273,310
5/2/2020,1755,2450,319,366
5/3/2020,1419,2944,232,182
5/4/2020,1321,2391,368,277
5/5/2020,1275,2122,162,132
5/6/2020,2603,2270,186,311
5/7/2020,1799,2641,239,326
5/8/2020,1898,2887,148,157
5/9/2020,2049,2325,177,286
5/10/2020,2119,1656,178,217
5/11/2020,1259,1266,74,231
5/12/2020,1443,4014,88,208
5/13/2020,1759,1677,136,182
5/14/2020,2023,3239,174,261
5/15/2020,1772,2432,140,178
5/16/2020,1857,2088,219,336
5/17/2020,2046,1734,114,146
5/18/2020,1591,2294,156,178
5/19/2020,1365,1545,135,200
5/20/2020,2262,2388,152,160
5/21/2020,2140,2268,108,146
5/22/2020,2247,2758,218,148
5/23/2020,2187,2352,194,320
5/24/2020,2079,2508,236,243
5/25/2020,1848,1713,179,237
5/26/2020,2175,1178,124,116
5/27/2020,2247,1111,201,225
5/28/2020,2717,1527,181,358
5/29/2020,2189,1622,122,307
5/30/2020,2992,1462,167,278
5/31/2020,3705,1343,185,353
6/1/2020,2423,974,180,275
6/2/2020,2304,1614,248,180
6/3/2020,2377,982,192,327
6/4/2020,2120,929,290,245
6/5/2020,3094,1156,196,264
6/6/2020,3115,975,189,429
6/7/2020,2796,867,111,307
6/8/2020,2507,1382,181,312
6/9/2020,2170,797,179,313
6/10/2020,2702,625,274,288
6/11/2020,3090,766,203,137
6/12/2020,2702,732,195,392
6/13/2020,3660,673,225,367
6/14/2020,3212,672,0,296
6/15/2020,2597,473,379,324
6/16/2020,2108,623,225,373
6/17/2020,3455,546,211,253
6/18/2020,4084,593,283,408
6/19/2020,4317,831,293,409
6/20/2020,3893,634,389,624
6/21/2020,4515,658,415,455
6/22/2020,4230,462,138,190
6/23/2020,5019,601,434,516
6/24/2020,7149,715,291,483
6/25/2020,5349,894,553,498
6/26/2020,4890,910,493,488
6/27/2020,5972,786,347,549
6/28/2020,4810,646,314,348
6/29/2020,5307,738,468,501
6/30/2020,6367,724,508,571
7/1/2020,9740,828,376,611
7/2/2020,7538,0,356,716
